latitude,longitude
-6.8254637,39.2945042
-6.8256674,39.2945847
-6.8258552,39.2947175
-6.8260189,39.2948798
-6.8260587,39.2949152
-6.8261202,39.2950005
-6.8261428,39.2952217
-6.8262506,39.2954683
-6.8262506,39.2954684
-6.8266754,39.29608
-6.8268039,39.296149
-6.8271407,39.2964123
-6.8275632,39.2966511
-6.8281021,39.2969511
-6.8283572,39.2970496
-6.8284504,39.2970631
-6.828501,39.2970523
-6.8286382,39.2968833
-6.8289165,39.2967736
-6.8292893,39.2967492
-6.8296942,39.2968348
-6.8299911,39.2969638
-6.830593,39.2974198
-6.8309219,39.2976572
-6.8312361,39.2978208
-6.8317701,39.2979938
-6.8322987,39.2982432
-6.8331203,39.2984873
-6.8333879,39.2986321
-6.8345358,39.299178
-6.8353853,39.2997587
-6.8359659,39.3001261
-6.8371763,39.3010166
-6.8381127,39.3011753
-6.8383747,39.3011427
-6.83868,39.3009393
-6.8388067,39.3008588
-6.838907,39.3007969
-6.8390368,39.3007129
-6.8393597,39.3005666
-6.8394319,39.3005593
-6.8394892,39.3005942
-6.8395907,39.3007129
-6.8399955,39.3012225
-6.8403241,39.3014935
-6.8403585,39.3015539
-6.8404855,39.30176
-6.840852,39.3021205
-6.8414584,39.302249
-6.8412119,39.3026334
-6.840578,39.303544
-6.8401941,39.3040529
-6.8394799,39.3054814
-6.8384353,39.3076955
-6.8384234,39.3077216
-6.8382478,39.3081062
-6.8381422,39.3083084
-6.83773,39.3090971
-6.837239,39.3100881
-6.837039,39.3104947
-6.8367569,39.3110702
-6.8365983,39.3113848
-6.836069,39.3125125
-6.8360415,39.3125656
-6.8359087,39.3128915
-6.8355873,39.3135343
-6.8353641,39.3139896
-6.8351446,39.3143148
-6.8351231,39.3143467
-6.8349535,39.3142128
-6.834776,39.3140069
-6.8344047,39.3137014
-6.8343935,39.3137104
-6.8341208,39.3139291
-6.8339437,39.3141455
-6.8337441,39.3144407
-6.8332549,39.3148905
-6.8328204,39.3152703
-6.832756,39.3152785
-6.8327235,39.3153038
-6.8321332,39.3157311
-6.8321149,39.3157268
-6.8321086,39.3157312
-6.8317588,39.3160203
-6.8314137,39.3163048
-6.8312304,39.3164617
-6.8310299,39.316621
-6.8309132,39.3167137
-6.8306642,39.3168827
-6.8305011,39.3169983
-6.8301898,39.3172503
-6.8301187,39.3173067
-6.8298074,39.3175913
-6.8296916,39.3176947
-6.8296015,39.3177594
-6.8295971,39.3177629
-6.8285975,39.3185578
-6.828479,39.3186346
-6.8280842,39.3189278
-6.8280052,39.3189842
-6.8276499,39.3192944
-6.827492,39.3194354
-6.8274922,39.3194367
-6.8272702,39.3196132
-6.8272252,39.3196467
-6.8269196,39.3198743
-6.8266473,39.3199601
-6.8263004,39.3200608
-6.8254201,39.3202697
-6.8254092,39.3202714
-6.8254035,39.3202534
-6.8250974,39.3203045
-6.8249316,39.3203321
-6.8248214,39.3203605
-6.8247577,39.3203702
-6.8247561,39.3203704
-6.8243383,39.320445
-6.824245,39.3204557
-6.8240293,39.3204675
-6.8240247,39.3204808
-6.8237141,39.3205162
-6.823588,39.32054
-6.8231932,39.3205756
-6.8218578,39.320695
-6.8219548,39.3214522
-6.8220965,39.3220415
-6.822339,39.3224668
-6.8224099,39.3225265
-6.8224701,39.3226262
-6.8219815,39.3229129
-6.8215511,39.3232867
-6.8210467,39.3237068
-6.8209429,39.3236263
-6.8208377,39.3235257
-6.8207711,39.3234721
-6.8207152,39.323401
-6.8206353,39.3233205
-6.8203862,39.3231221
-6.8201665,39.322937
-6.8198962,39.3227144
-6.8195274,39.3223751
-6.8192411,39.3220331
-6.8189867,39.3217354
-6.8188802,39.3215932
-6.818496,39.3213417
-6.8180506,39.3209401
-6.8174993,39.3204707
-6.8167163,39.3196902
-6.8163727,39.3192986
-6.8160026,39.3184081
-6.8157655,39.3179628
-6.8155394,39.3172624
-6.8154486,39.3167424
-6.8152946,39.3158557
-6.8152946,39.3151785
-6.815286,39.3149471
-6.815286,39.314947
-6.8152603,39.3147756
-6.815226,39.3144156
-6.815226,39.3144155
-6.8151574,39.3141412
-6.8151746,39.3140469
-6.8152946,39.3139098
-6.8152946,39.3139097
-6.8152946,39.3137383
-6.8153374,39.3135154
-6.8154489,39.3134125
-6.8155432,39.3132754
-6.8156118,39.3131639
-6.8157232,39.3130011
-6.8157832,39.312761
-6.8157661,39.3125038
-6.8157735,39.3123543
-6.8158296,39.3122435
-6.8159093,39.3121371
-6.8160105,39.3119949
-6.8160833,39.3119037
-6.8161861,39.3117752
-6.8164633,39.3115684
-6.8166843,39.3114692
-6.8169491,39.3113294
-6.8172749,39.3112179
-6.8175578,39.3111236
-6.817815,39.3109865
-6.817935,39.3107893
-6.818055,39.3104807
-6.8181571,39.3101308
-6.8183893,39.309812
-6.8184607,39.3095233
-6.8186432,39.3092886
-6.8190307,39.3090847
-6.8190999,39.3089198
-6.8192823,39.3084262
-6.8193289,39.3080842
-6.8193662,39.3077382
-6.8193423,39.3074056
-6.8193383,39.3071924
-6.8193263,39.3070315
-6.8193343,39.3067016
-6.8194315,39.3063663
-6.819522,39.306078
-6.8197258,39.3057319
-6.8199761,39.3053752
-6.8201905,39.3049581
-6.8202837,39.304706
-6.8203809,39.304415
-6.8204928,39.304077
-6.8205128,39.3040131
-6.8205247,39.3039617
-6.8205567,39.3037954
-6.8205873,39.303558
