latitude,longitude
-5.878857,37.0197723
-5.8797389,37.0199692
-5.8807022,37.0205657
-5.8814428,37.0221957
-5.8818737,37.0234013
-5.8828403,37.0249177
-5.8852892,37.0265489
-5.8882975,37.0278182
-5.8898985,37.0275326
-5.8940552,37.0251181
-5.8960158,37.0245912
-5.8967156,37.0247189
-5.8908491,37.0334754
-5.8643457,37.0718473
-5.860617,37.0744835
-5.8604884,37.0747534
-5.8637125,37.0761443
-5.8680012,37.0784453
-5.8738828,37.0808716
-5.8807643,37.0844905
-5.8881555,37.0877773
-5.8965557,37.0914126
-5.9111545,37.099335
-5.9264333,37.1067587
-5.9383567,37.1122895
-5.9425537,37.1143606
-5.950955,37.1178279
-5.9616966,37.1233462
-5.9665592,37.1262687
-5.9690703,37.1281529
-5.9754184,37.1341299
-5.9797727,37.1372157
-5.9846203,37.1414885
-5.9908087,37.1466199
-5.991687,37.1471666
-5.9918766,37.1470097
-5.9925184,37.1485092
-5.9930531,37.1547067
-6.0017522,37.1747004
-6.002703,37.1762025
-6.0013244,37.1927616
-6.0017771,37.2152741
-6.0022895,37.2299712
-6.0022604,37.2337223
-5.9978311,37.2399403
-5.9955825,37.2474255
-5.9964848,37.2521215
-5.996133,37.2571205
-5.9954926,37.2589911
-5.9951432,37.2636774
-5.9963826,37.26525
-5.9969743,37.269631
-5.9941362,37.2724222
-5.9919117,37.2767812
-5.992518,37.2792867
-5.9940556,37.2827372
-5.9934029,37.2861706
-5.992117,37.2905367
-5.9919452,37.2908177
-5.9813328,37.3032737
-5.9816099,37.3135852
-5.9815804,37.3173358
-5.9834405,37.3195384
-5.9840342,37.3236065
-5.9836843,37.3282922
-5.9814473,37.3342133
-5.980479,37.3379564
-5.9782542,37.3423147
-5.9767439,37.3462431
-5.9772825,37.3496948
-5.9773485,37.3530418
-5.9774468,37.3580295
-5.9775216,37.3618246
-5.9752646,37.3668989
-5.9711874,37.3724617
-5.9673363,37.3768622
-5.9632957,37.3803198
-5.9571416,37.3846561
-5.9511748,37.3878021
-5.9463799,37.3901704
-5.9432262,37.3922962
-5.9372527,37.3940838
-5.9307066,37.395303
-5.9241798,37.3928014
-5.9149579,37.3933381
-5.9094264,37.3921839
-5.9050042,37.3901864
-5.8966345,37.3945611
-5.8914368,37.394516
-5.8883034,37.3938285
-5.8836821,37.3933681
-5.8774958,37.394346
-5.8774948,37.3937795
-5.8703679,37.3948497
-5.8680021,37.3953618
-5.865553,37.395695
-5.8618809,37.3967657
-5.8600867,37.3976679
-5.8584573,37.399059
-5.8560095,37.3998815
-5.851366,37.4039725
-5.8490845,37.4058547
-5.8458272,37.4092076
-5.8438706,37.4104364
-5.8419959,37.4117466
-5.8366135,37.4145345
-5.8338387,37.4152763
-5.8303338,37.4177327
-5.8252032,37.4229663
-5.8222728,37.4264812
-5.8203989,37.4281174
-5.8071202,37.4403051
-5.8045951,37.4427434
-5.8023236,37.4488257
-5.8046578,37.4528786
-5.8053044,37.4548045
-5.8044376,37.4564016
-5.8044427,37.4582863
-5.8022719,37.4609018
-5.8025643,37.4616259
-5.8041634,37.4623465
-5.8048941,37.4640842
-5.8073624,37.4640775
-5.8102738,37.4668242
-5.8105693,37.4687082
-5.8070936,37.4720521
-5.8078262,37.4745147
-5.8082689,37.4771232
-5.8097236,37.4781341
-5.812195,37.4792873
-5.8139378,37.4794276
-5.8150989,37.4792795
-5.815828,37.4804374
-5.8178577,37.4792721
-5.8184404,37.4799955
-5.8225075,37.4805645
-5.8229489,37.4827381
-5.822664,37.4847686
-5.8233915,37.4853466
-5.8251358,37.4860668
-5.8264449,37.4869332
-5.8268852,37.4886719
-5.8231786,37.4905439
-5.8178737,37.492026
-5.8168982,37.4937412
-5.8171504,37.4964318
-5.8164197,37.4980648
-5.8181398,37.499936
-5.8178153,37.5007524
-5.8180642,37.5022197
-5.8176589,37.5033625
-5.8210075,37.5033536
-5.8221527,37.504003
-5.8229722,37.5050611
-5.823386,37.5070988
-5.8227345,37.5078345
-5.8207772,37.5088999
-5.8197156,37.5089842
-5.8202925,37.51094
-5.8215226,37.5128125
-5.822347,37.5157463
-5.821944,37.5177862
-5.821132,37.5195826
-5.821052,37.5202352
-5.8217076,37.521049
-5.8205688,37.5228462
-5.8215515,37.5238223
-5.8227773,37.5240638
-5.8241668,37.5244679
-5.8249051,37.5256893
-5.8245805,37.5265057
-5.8227868,37.5277337
-5.8210706,37.5273304
-5.8193548,37.5270902
-5.8186199,37.5271737
-5.8184585,37.5279081
-5.8183804,37.5292947
-5.8197713,37.5301882
-5.8208356,37.5311641
-5.8209198,37.5321425
-5.8212497,37.533365
-5.8210095,37.5352414
-5.8200309,37.5358148
-5.8174205,37.5370449
-5.8161156,37.5377822
-5.8150565,37.5388451
-5.8136708,37.5399089
-5.8136746,37.5413769
-5.8144107,37.5417828
-5.816208,37.5419412
-5.8169437,37.542184
-5.8168679,37.5444677
-5.8177693,37.5456072
-5.819402,37.5452768
-5.8202185,37.5451931
-5.8207562,37.5458518
-5.8200702,37.5470463
-5.8204854,37.5477334
-5.8216343,37.5478681
-5.8221889,37.5491511
-5.822284,37.5503895
